Year,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
2018,285.85,0.01283,-0.00018,-0.01194,0.02443,-0.01409,18062869.00,0.01920,1
2018,278.95,0.01920,0.01283,-0.00018,-0.01194,0.02443,10755084.00,-0.00511,0
2018,282.30,-0.00511,0.01920,0.01283,-0.00018,-0.01194,15422138.00,0.00932,1
2018,282.35,0.00932,-0.00511,0.01920,0.01283,-0.00018,8579200.00,-0.01096,0
2018,278.75,-0.01096,0.00932,-0.00511,0.01920,0.01283,4730984.00,0.00455,1
2018,273.45,0.00455,-0.01096,0.00932,-0.00511,0.01920,7891899.00,0.00788,1
2018,274.85,0.00788,0.00455,-0.01096,0.00932,-0.00511,6282351.00,0.00092,1
2018,272.30,0.00092,0.00788,0.00455,-0.01096,0.00932,9244273.00,0.00628,1
2018,275.30,0.00628,0.00092,0.00788,0.00455,-0.01096,6997081.00,0.00390,1
2018,274.05,0.00390,0.00628,0.00092,0.00788,0.00455,8830998.00,0.00522,1
2018,271.90,0.00522,0.00390,0.00628,0.00092,0.00788,8005601.00,-0.01078,0
2018,271.65,-0.01078,0.00522,0.00390,0.00628,0.00092,13212672.00,-0.00240,0
2018,269.95,-0.00240,-0.01078,0.00522,0.00390,0.00628,6607768.00,0.01169,1
2018,268.90,0.01169,-0.00240,-0.01078,0.00522,0.00390,7984112.00,-0.00503,0
2018,267.50,-0.00503,0.01169,-0.00240,-0.01078,0.00522,5788321.00,-0.00371,0
2018,270.40,-0.00371,-0.00503,0.01169,-0.00240,-0.01078,7296797.00,0.00892,1
2018,271.05,0.00892,-0.00371,-0.00503,0.01169,-0.00240,6797792.00,0.00224,1
2018,267.90,0.00224,0.00892,-0.00371,-0.00503,0.01169,6769606.00,0.01034,1
2018,269.25,0.01034,0.00224,0.00892,-0.00371,-0.00503,8572974.00,-0.00019,0
2018,270.25,-0.00019,0.01034,0.00224,0.00892,-0.00371,8449515.00,-0.00565,0
2018,267.85,-0.00565,-0.00019,0.01034,0.00224,0.00892,7817856.00,0.00868,1
2018,267.25,0.00868,-0.00565,-0.00019,0.01034,0.00224,9169601.00,0.01106,1
2018,264.50,0.01106,0.00868,-0.00565,-0.00019,0.01034,10814596.00,-0.01635,0
2018,264.55,-0.01635,0.01106,0.00868,-0.00565,-0.00019,6281093.00,0.00966,1
2018,266.05,0.00966,-0.01635,0.01106,0.00868,-0.00565,7336092.00,-0.00834,0
2018,263.75,-0.00834,0.00966,-0.01635,0.01106,0.00868,9540207.00,0.00777,1
2018,260.85,0.00777,-0.00834,0.00966,-0.01635,0.01106,7137481.00,0.00860,1
2018,265.15,0.00860,0.00777,-0.00834,0.00966,-0.01635,16820667.00,-0.02165,0
2018,262.60,-0.02165,0.00860,0.00777,-0.00834,0.00966,13617718.00,0.01190,1
2018,264.80,0.01190,-0.02165,0.00860,0.00777,-0.00834,10087090.00,-0.00908,0
2018,262.75,-0.00908,0.01190,-0.02165,0.00860,0.00777,10036967.00,0.00396,1
2018,260.50,0.00396,-0.00908,0.01190,-0.02165,0.00860,14637010.00,-0.03018,0
2018,266.20,-0.03018,0.00396,-0.00908,0.01190,-0.02165,10907020.00,-0.00055,0
2018,263.05,-0.00055,-0.03018,0.00396,-0.00908,0.01190,18097981.00,-0.00640,0
2018,265.45,-0.00640,-0.00055,-0.03018,0.00396,-0.00908,10385004.00,-0.00961,0
2018,264.40,-0.00961,-0.00640,-0.00055,-0.03018,0.00396,7881279.00,0.00470,1
2018,272.50,0.00470,-0.00961,-0.00640,-0.00055,-0.03018,15473199.00,-0.00524,0
2018,272.65,-0.00524,0.00470,-0.00961,-0.00640,-0.00055,12936762.00,0.02484,1
2018,274.40,0.02484,-0.00524,0.00470,-0.00961,-0.00640,9782072.00,-0.00443,0
2018,277.05,-0.00443,0.02484,-0.00524,0.00470,-0.00961,11486223.00,0.00646,1
2018,275.75,0.00646,-0.00443,0.02484,-0.00524,0.00470,11362662.00,0.00483,1
2018,277.20,0.00483,0.00646,-0.00443,0.02484,-0.00524,9902834.00,-0.01753,0
2018,270.40,-0.01753,0.00483,0.00646,-0.00443,0.02484,18590126.00,-0.00256,0
2018,271.60,-0.00256,-0.01753,0.00483,0.00646,-0.00443,10281018.00,-0.03637,0
2018,269.85,-0.03637,-0.00256,-0.01753,0.00483,0.00646,10033333.00,-0.00527,0
2018,268.55,-0.00527,-0.03637,-0.00256,-0.01753,0.00483,7050253.00,-0.00175,0
2018,273.30,-0.00175,-0.00527,-0.03637,-0.00256,-0.01753,8956760.00,-0.00366,0
2018,274.00,-0.00366,-0.00175,-0.00527,-0.03637,-0.00256,6572535.00,-0.05207,0
2018,284.15,-0.05207,-0.00366,-0.00175,-0.00527,-0.03637,26056261.00,0.00497,1
2018,285.65,0.00497,-0.05207,-0.00366,-0.00175,-0.00527,12111542.00,0.01119,1
2018,286.15,0.01119,0.00497,-0.05207,-0.00366,-0.00175,13301823.00,-0.01302,0
2018,287.20,-0.01302,0.01119,0.00497,-0.05207,-0.00366,20698478.00,0.00799,1
2018,302.55,0.00799,-0.01302,0.01119,0.00497,-0.05207,75862167.00,-0.01575,0
2018,301.05,-0.01575,0.00799,-0.01302,0.01119,0.00497,17080727.00,0.00710,1
2018,297.70,0.00710,-0.01575,0.00799,-0.01302,0.01119,14563274.00,0.00232,1
2018,301.60,0.00232,0.00710,-0.01575,0.00799,-0.01302,14624672.00,0.00050,1
2018,299.20,0.00050,0.00232,0.00710,-0.01575,0.00799,9847568.00,-0.00514,0
2018,303.95,-0.00514,0.00050,0.00232,0.00710,-0.01575,12470372.00,-0.00757,0
2018,301.80,-0.00757,-0.00514,0.00050,0.00232,0.00710,7683950.00,-0.00377,0
2018,301.10,-0.00377,-0.00757,-0.00514,0.00050,0.00232,7188627.00,-0.00635,0
2018,300.95,-0.00635,-0.00377,-0.00757,-0.00514,0.00050,6442258.00,0.00146,1
2018,302.50,0.00146,-0.00635,-0.00377,-0.00757,-0.00514,9221385.00,-0.02028,0
2018,304.80,-0.02028,0.00146,-0.00635,-0.00377,-0.00757,14777932.00,0.00144,1
2018,305.95,0.00144,-0.02028,0.00146,-0.00635,-0.00377,9957591.00,0.00128,1
2018,307.90,0.00128,0.00144,-0.02028,0.00146,-0.00635,12315926.00,0.00288,1
2018,307.45,0.00288,0.00128,0.00144,-0.02028,0.00146,18674289.00,0.00514,1
